nama_variabel,jenis_makanan,tahun,nama_wilayah,value
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Yogyakarta,0.169
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pacitan,0.016
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Ponorogo,0.041
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Trenggalek,0.012
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tulungagung,0.052
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Blitar,0.022
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kediri,0.031
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Malang,0.016
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lumajang,0.030
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Jember,0.014
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Banyuwangi,0.023
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bondowoso,0.004
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Situbondo,0.061
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Probolinggo,0.004
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pasuruan,0.012
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sidoarjo,0.070
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Mojokerto,0.038
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Jombang,0.038
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Nganjuk,0.021
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Madiun,0.018
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Magetan,0.060
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Ngawi,0.025
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bojonegoro,0.032
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Tuban,0.018
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Lamongan,0.025
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Gresik,0.053
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Bangkalan,0.042
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sampang,0.002
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Pamekasan,0.015
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Sumenep,0.109
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Kediri,0.106
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Blitar,0.047
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Malang,0.078
Rata-Rata Pengeluaran Perkapita Mingguan Makanan,Bubur Ayam,2022,Kota Probolinggo,0.023
